	Protein1	Protein2	spearman_erythrocyte	Spearman_all	Pearson_all
28	Q8IE67	Q8IIR8	-0.11904761904761905	0.008893280632411068	0.7623029652627056
29	Q8I463	Q8IIX0	1.0	0.9407114624505929	0.9820455506912823
30	Q8I3R0	Q8IEK3	-0.3333333333333334	0.2341897233201581	0.8339288872892447
31	Q8I2Q0	Q8ILE3	0.04761904761904763	0.6393280632411067	0.7770479048785981
32	A0A144A1R5	Q8IIX0	-0.9523809523809524	-0.21343873517786563	0.5569559533977607
33	Q8IIV2	Q8ILC1	-0.9285714285714287	-0.03656126482213439	0.39136056239026107
34	C0H5I7	Q8IDG2	0.2380952380952381	0.4594861660079051	0.7602030989944198
35	Q8IJC6	Q8IL58	0.9523809523809524	0.8221343873517787	0.9610511250945749
36	O77381	Q8IB24	0.8333333333333335	0.5879446640316206	0.9762582861858167
37	Q8IB24	Q8IIU8	0.9761904761904763	0.882411067193676	0.9889765687867896
38	C6KT09	O96252	0.6428571428571429	0.7490118577075098	0.9634700464468773
39	Q8I2W2	Q8IAU7	0.6428571428571429	0.8191699604743082	0.9300977376889572
40	C6KT18	O97313	-0.7857142857142858	-0.23221343873517786	0.623491841959355
41	O00806	Q8IAX6	0.9523809523809524	0.9624505928853755	0.9951424164645071
42	Q8II61	Q8IIV2	-0.8095238095238096	0.0009881422924901185	0.6195284734642839
43	Q8IEA6	Q8IJN9	0.7380952380952381	0.8191699604743082	0.7773706255096322
44	Q8I5C4	Q8IDG3	0.523809523809524	0.7341897233201582	0.800735024213122
45	Q8IIF0	Q8IKC8	0.7619047619047621	0.6472332015810277	0.9672363518081679
46	Q8IDR9	Q8ILI2	0.7619047619047621	0.8833992094861661	0.9601159093268291
47	Q8IDZ8	Q8II61	0.4761904761904762	0.6462450592885376	0.9711956282768878
48	Q8I3R0	Q8IAX6	0.9761904761904763	0.9249011857707511	0.989430279555561
49	Q6ZMA8	Q8IC01	0.6666666666666669	0.7677865612648223	0.9176070576674856
50	Q76NM6	Q8I323	0.8333333333333335	0.7628458498023717	0.9820682812362633
51	Q6ZLZ9	Q8IBR6	0.5000000000000001	0.7075098814229249	0.9158456187129127
52	Q8IKK7	Q8ILL2	0.6904761904761906	0.7984189723320158	0.9108596132764487
53	Q8IAX5	Q8IE10	0.9047619047619048	0.7628458498023717	0.9633410714490465
54	Q8IDB0	Q8IL94	-0.4285714285714286	-0.18675889328063244	0.6954503897026765
55	Q8IAX6	Q8IIV2	-0.9285714285714287	-0.1650197628458498	0.5657420798381709
56	Q8IBR6	Q8ILS7	0.9761904761904763	0.9575098814229249	0.9376286394107338
57	Q8IIU8	Q8IKM5	0.9523809523809524	0.8853754940711462	0.9909540521477869
58	Q8IDF6	Q8ILA4	0.9523809523809524	0.8932806324110673	0.9205262622679805
59	O97282	Q8I6T3	0.4285714285714286	0.8033596837944664	0.8152507610330606
60	P27362	Q8IJN9	0.7619047619047621	0.7598814229249011	0.9646729703125573
61	Q8I490	Q9TY99	0.5714285714285715	0.7727272727272727	0.7547887590797133
62	Q8I5B6	Q8IE66	-0.7857142857142858	0.18972332015810275	-0.027581655279286986
63	Q76NN6	Q8IIG6	0.4761904761904762	0.6482213438735179	0.9337299071203647
64	O97313	Q8IEK3	-0.1666666666666667	0.2648221343873518	0.7848653046922386
65	Q8IJM0	Q8IJW0	0.9285714285714287	0.8675889328063242	0.9938604400983253
66	Q8I323	Q8IKB2	-0.09523809523809526	0.1818181818181818	0.693014759084129
67	Q8I3T8	Q8IAX8	0.7142857142857144	0.9120553359683794	0.9850932096823068
68	C0H5H0	Q8II43	-0.07142857142857144	0.4061264822134388	0.5334947882647552
69	C0H571	Q8IKC8	-0.4761904761904762	-0.3181818181818182	0.04933042332637537
70	Q8I0V4	Q8ILK3	0.3571428571428572	0.6976284584980238	0.878781744229731
71	Q7KQL9	Q8I5C4	0.14285714285714288	0.3379446640316206	0.9041802132457086
72	Q8IBN4	Q8IEU2	-0.5952380952380953	0.607707509881423	0.43522723736000096
73	Q8IL02	Q8IM10	1.0	0.9436758893280633	0.9983064966573482
74	A0A5K1K7U1	Q8I261	0.9761904761904763	0.9891304347826088	0.9975590046468579
75	Q8IDB0	Q8IJC6	0.9523809523809524	0.9634387351778656	0.9934274451125191
76	C6KST5	Q8IJT1	0.3571428571428572	0.6274703557312253	0.7025436150079706
77	Q8I546	Q8ILB6	0.7142857142857144	0.8191699604743082	0.6698673206839204
78	Q8I0V2	Q8I323	0.7380952380952381	0.8567193675889329	0.9516379519011364
79	O77323	Q8IBR6	0.7857142857142858	0.8418972332015809	0.8871279914103654
80	Q6ZLZ9	Q7KQL9	0.4523809523809524	0.3992094861660079	0.8673167332187707
81	Q8IE10	Q8ILK3	0.880952380952381	0.8310276679841897	0.9671835848122796
82	Q8I0V4	Q8IKF0	0.0	0.3359683794466403	0.8024382880725158
83	Q8IBY4	Q8IL02	0.9047619047619048	0.941699604743083	0.9950276552350514
84	O97282	Q8II43	0.9761904761904763	0.9318181818181819	0.9916674508286378
85	O00806	Q8I3R0	0.9047619047619048	0.884387351778656	0.992350315381638
86	O77381	Q8II24	0.8095238095238096	0.6561264822134387	0.9269003656240153
87	A0A144A3N9	C0H5C2	0.9285714285714287	0.933794466403162	0.8482600288224222
88	Q8IBB9	Q8IJM9	-0.2142857142857143	0.24110671936758896	0.055594373716072884
89	Q7KQL9	Q8IDJ8	0.04761904761904763	0.4525691699604743	0.9640463866848457
90	Q8I0U8	Q8I4T3	0.2380952380952381	0.3735177865612649	0.034116146355840135
91	Q8IDJ8	Q8IE10	0.8095238095238096	0.8389328063241107	0.9420628186334512
92	Q8I603	Q8IKH8	0.7380952380952381	0.9268774703557312	0.9781579953188699
93	Q8I2F2	Q8IK15	0.4761904761904762	0.2816205533596838	-0.07381165100779129
94	C6KT19	Q8IAX5	-0.28571428571428575	0.10276679841897234	0.8312684048409051
95	O00806	Q8IJX8	0.6666666666666669	0.8913043478260869	0.9825801240430022
96	Q8II24	Q8ILL3	0.9047619047619048	0.8211462450592886	0.9447654654033157
97	Q8I6T3	Q8IDG3	0.9761904761904763	0.8952569169960475	0.9902909026095936
98	C6KST3	O77323	0.4285714285714286	0.6907114624505929	0.7507298760948518
99	Q8I5V6	Q8IIT3	0.30952380952380953	0.5553359683794467	0.9833307450675045
100	Q7KQL5	Q9TY94	-0.3333333333333334	0.1798418972332016	0.8410506026937575
101	C6KST3	O97247	0.4285714285714286	0.8201581027667983	0.7906253204975944
102	C6KT25	Q8ILL3	-0.5952380952380953	-0.15415019762845852	0.590649131965149
103	C0H586	Q76NN6	-0.5000000000000001	0.2816205533596838	0.9444756493260427
104	Q8I3R0	Q8IJX8	0.4523809523809524	0.7223320158102766	0.977221138166489
105	Q8I5C4	Q8IC01	0.9761904761904763	0.9762845849802372	0.9964056141041828
