Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_1139200	PF3D7_1139200.1	9.05	13.43	22.41	20.55	68.8	117.77	265.59	271.85	N/A	17.18	37.58	49.58	55.11	52.63	64.28	64.97	48.85	27.62	32.6	24.66	32.65	26.04	15.49	16.01
PF3D7_1139300	PF3D7_1139300.1	31.45	52.73	118.5	194.3	518.98	434.62	507.45	217.68	AP2-G5	75.7	211.75	255.74	309.27	196.76	130.99	75.53	35.57	201.6	377.37	373.68	331.44	185.23	132.73	152.09
PF3D7_1139400	PF3D7_1139400.1	1	1.75	8.12	23.21	30.31	15.89	15.14	7.84	N/A	2.68	4.06	18.62	31.03	10.99	3.89	1.74	4.43	9.75	12.48	10.65	5.6	3.9	2.74	4.03
PF3D7_1139500	PF3D7_1139500.1	0.25	0.2	0.25	0.72	1.86	32.89	56.94	12.59	N/A	3.94	4.12	2.88	1.69	3.92	9.63	5.1	4.1	3.52	8.77	6.09	8.33	5.34	5.32	7.93
PF3D7_1139600	PF3D7_1139600.1	0.52	0.27	1.2	2.63	17.71	31.74	57.92	12.91	N/A	0.6	1.36	4.88	8.8	17.6	18.5	8.86	6.63	7.21	12.43	11.69	17.31	6.03	5.33	9.11
PF3D7_1139700	PF3D7_1139700.1	77.66	26.44	11.39	3.91	45.88	110.18	316.47	474.92	N/A	110.07	53.17	12.44	8.75	25.3	41.61	61.84	70.52	115.68	46.24	26.05	43.35	57.4	61.97	91.56
PF3D7_1139800	PF3D7_1139800.1	11.89	16.59	25.34	21.66	95.52	184.96	528.36	735.75	N/A	24.41	34.94	28.84	33.76	38.87	66.29	87.89	81.28	94.47	81.73	61.88	101.6	123.83	93.01	70.92
PF3D7_1139900	PF3D7_1139900.1	16.78	48.84	117.02	88.65	320.79	373.41	786.79	585.8	EMC8	38.54	114.93	184.87	216.66	132.46	161.57	127.64	81.46	72.42	110.23	109.66	136.91	92.07	50.6	45.33
PF3D7_1140000	PF3D7_1140000.1	4.53	0.64	0.36	0.83	0.86	2.5	2.96	9.02	CA	2.2	1.11	0.62	0.26	0.68	0.24	0.48	5.61	5.91	3.48	2.02	1.03	2.03	5.45	5.98
PF3D7_1140100	PF3D7_1140100.1	57.83	42.94	141.12	144.18	810.48	989.5	1864.24	2353.57	N/A	125.78	105.48	289.98	519.51	448.1	430.9	440.3	535.89	85.12	93.78	86.22	135.06	78.19	75.17	56.35
PF3D7_1140200	PF3D7_1140200.1	138.49	25.31	19.38	115.5	1173.02	1983.79	3617.9	4424.49	N/A	194.51	47.3	39.33	246.33	476.78	519.91	721.23	653.29	213.12	118.59	240.3	271.48	468.91	314.6	245.78
PF3D7_1140300	PF3D7_1140300.1	6.96	1.19	1.15	1.61	44.96	86.05	182.82	239.04	N/A	12.03	4.05	1.03	9.03	21.66	31.17	30.79	39.16	36.09	31.83	23.96	38.13	36.28	32.05	32.02
PF3D7_1140400	PF3D7_1140400.1	869.47	89.02	15.16	6.7	12.59	23.75	73.29	3554.16	N/A	336.16	79.75	6.83	1.06	2.79	7.96	22.54	495.96	175.35	90.98	28.55	36.35	211.82	613.41	381.61
PF3D7_1140500	PF3D7_1140500.1	5.95	2.41	1.56	1.31	5.82	36.51	69.43	64.92	MyoK	12.19	6.29	3.11	1.93	8.66	20.85	13.13	20.46	23	23.86	18.67	15.92	15.15	23.15	27.84
PF3D7_1140600	PF3D7_1140600.1	43.31	6.96	5.33	1.72	2.91	6.35	17.72	225.43	N/A	85.03	32.94	13.4	3.93	2.35	3.36	7.33	112.86	100.28	36.55	17.76	13.41	65.65	133.37	90.75
PF3D7_1140700	PF3D7_1140700.1	58.05	77.06	97.06	106.39	583.42	602.08	292.46	137.54	CDP	127.06	177.44	182.73	259.19	287.34	127.67	41.02	35.47	172.18	197.74	227.32	213.19	118.78	85.06	128.37
